Timestamp,Quel est votre age ? ,  Quel est votre niveau d etudes ?  ,Quel est votre domaine de travail principal ?  ,Combien d annees d experience professionnelle avez-vous ?,Pertinence des Competences et de la Formation   [Mon poste actuel correspond a mes competences et a ma formation.],  Pertinence des Competences et de la Formation   [Les competences developpees pendant mes etudes sont pertinentes pour mon travail actuel.],  Pertinence des Competences et de la Formation   [Mon role actuel est aligne avec mon domaine de specialisation.],  Pertinence des Competences et de la Formation   [Mon niveau de qualification est suffisant pour bien accomplir mes taches.],  Pertinence des Competences et de la Formation   [Mes compétences techniques sont nécessaires pour réussir dans mon poste.],  Pertinence des Competences et de la Formation   [Mon role necessite une expertise specifique que j ai acquise auparavant.],  Pertinence des Competences et de la Formation   [Je sens que mon poste est une progression naturelle apres mes etudes/formations.],  Pertinence des Competences et de la Formation   [Mon travail correspond aux attentes professionnelles que j avais apres mes etudes.],  Pertinence des Competences et de la Formation   [Le contenu de ma formation correspond aux exigences actuelles de mon metier.],  Pertinence des Competences et de la Formation   [Mon role utilise pleinement mes competences interpersonnelles (soft skills).], Utilisation des Connaissances et des Forces Principales   [Mon role actuel me permet d utiliser mes connaissances theoriques.], Utilisation des Connaissances et des Forces Principales   [Les competences pratiques acquises pendant mes études sont utilisees dans mon travail.], Utilisation des Connaissances et des Forces Principales   [Mes forces professionnelles sont regulierement sollicitees dans mon poste.], Utilisation des Connaissances et des Forces Principales   [Je peux utiliser ma creativite pour resoudre les problemes dans mon travail.], Utilisation des Connaissances et des Forces Principales   [Mon role me permet d appliquer mes expériences professionnelles anterieures.], Utilisation des Connaissances et des Forces Principales   [Mes capacités analytiques sont cruciales pour accomplir mes responsabilites.], Utilisation des Connaissances et des Forces Principales   [Je me sens valorise(e) lorsque mes forces sont reconnues au travail.], Utilisation des Connaissances et des Forces Principales   [Les compétences que j ai developpees avec le temps sont essentielles dans mon poste.], Utilisation des Connaissances et des Forces Principales   [Mon role actuel reflete les qualites que j apprecie le plus en moi-meme.], Utilisation des Connaissances et des Forces Principales   [Je peux contribuer efficacement aux projets grace a mes points forts personnels.],  Necessite d un Apprentissage ou d une Adaptation   [J ai du apprendre de nouvelles compétences pour repondre aux exigences de mon poste.],  Necessite d un Apprentissage ou d une Adaptation   [Mon entreprise offre des opportunites d apprentissage pour developper mes competences.],  Necessite d un Apprentissage ou d une Adaptation   [Les responsabilites de mon poste ont nécessite une periode d adaptation.],  Necessite d un Apprentissage ou d une Adaptation   [J ai du suivre des formations pour ameliorer mes performances dans ce poste.],  Necessite d un Apprentissage ou d une Adaptation   [Mon role exige que je reste constamment a jour sur les nouvelles tendances ou outils.],  Necessite d un Apprentissage ou d une Adaptation   [Les formations internes proposees par mon entreprise sont adaptees a mes besoins.],  Necessite d un Apprentissage ou d une Adaptation   [J ai du elargir mon champ de competences pour reussir dans mon poste actuel.],  Necessite d un Apprentissage ou d une Adaptation   [Je suis soutenu(e) par mon equipe pour m adapter aux exigences changeantes du travail.],  Necessite d un Apprentissage ou d une Adaptation   [Je me sens capable de m adapter rapidement aux nouvelles attentes professionnelles.],  Necessite d un Apprentissage ou d une Adaptation   [Le processus d integration dans mon poste a ete bien structure pour m aider a reussir.],  Objectifs et Attentes pour l Avenir   [Je souhaite que mon futur metier m offre des opportunites de progression de carriere.],  Objectifs et Attentes pour l Avenir   [Un salaire competitif est essentiel dans mes aspirations professionnelles.],  Objectifs et Attentes pour l Avenir   [Je valorise un environnement de travail qui soutient un bon equilibre vie pro/vie perso.],  Objectifs et Attentes pour l Avenir   [Le developpement de nouvelles competences est une priorite pour ma carriere future.],  Objectifs et Attentes pour l Avenir   [J aspire a travailler dans une entreprise avec une culture d entreprise motivante.],  Objectifs et Attentes pour l Avenir   [La reconnaissance de mes efforts par mes superieurs est importante pour moi.],  Objectifs et Attentes pour l Avenir   [Je souhaite un poste qui me permette de contribuer a des projets significatifs.],  Objectifs et Attentes pour l Avenir   [Mon objectif est d avoir un role avec un niveau eleve d autonomie.],  Objectifs et Attentes pour l Avenir   [La stabilite professionnelle est un critere essentiel pour mon futur metier.],  Objectifs et Attentes pour l Avenir   [Je cherche un emploi qui me permette de voyager ou de travailler a l international.]
2024/11/23 9:25:48 PM GMT+1,55+,Baccalaureat,Commerce,10+ ans,pdtd,pdtd,pdtd,tafd,tafd,Neutre,Neutre,Neutre,tafd,Neutre,tafd,pdtd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,Neutre,Neutre,tafd,tafd,tafd,tafd,tafd,Neutre,tafd,tafd,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non
2024/11/24 8:05:47 AM GMT+1,35-44,Licence,Informatique / IT,3-5 ans,tafd,pdtd,Neutre,tafd,tafd,tafd,tafd,Neutre,tafd,pdtd,Neutre,Neutre,tafd,pdtd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,Neutre,Neutre,Oui,Oui,Oui,Non,Oui,Oui,Oui,Oui,Oui,Non
2024/11/24 8:20:39 AM GMT+1,45-54,Autre,Autre,10+ ans,Neutre,Neutre,pdtd,tafd,Neutre,tafd,pdtd,Neutre,pdtd,tafd,pdtd,pdtd,pdtd,tafd,tafd,Neutre,tafd,tafd,tafd,tafd,tafd,pdtd,pdtd,pdtd,pdtd,pdtd,tafd,Neutre,pdtd,pdtd,Oui,Oui,Oui,Non,Oui,Oui,Non,Oui,Oui,Oui
2024/11/24 9:29:30 AM GMT+1,55+,Master,Commerce,10+ ans,tafd,pdtd,pdtd,tafd,tafd,tafd,tafd,pdtd,pdtd,pdtd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,Neutre,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui
2024/11/24 9:35:44 AM GMT+1,35-44,Licence,Marketing / Communication,3-5 ans,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,Neutre,Neutre,tafd,tafd,Neutre,tafd,tafd,tafd,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui
2024/11/24 10:26:18 AM GMT+1,45-54,Doctorat,Enseignement / Education,10+ ans,tafd,tafd,Neutre,tafd,tafd,tafd,tafd,Neutre,tafd,tafd,tafd,tafd,tafd,Neutre,tafd,tafd,tafd,tafd,pdtd,tafd,Neutre,pdtd,pdtd,pdtd,tafd,pdtd,tafd,pdtd,tafd,pdtd,Oui,Oui,Oui,Oui,Non,Oui,Oui,Oui,Oui,Oui
2024/11/24 11:35:57 AM GMT+1,45-54,Master,Marketing / Communication,10+ ans,tafd,tafd,tafd,tafd,Neutre,tafd,tafd,tafd,tafd,tafd,Neutre,Neutre,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,Neutre,tafd,tafd,tafd,tafd,tafd,Neutre,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui
2024/11/24 5:03:31 PM GMT+1,25-34,Baccalaureat,Autre,0-2 ans,pdtd,tafd,pdtd,tafd,tafd,tafd,tafd,Neutre,pdtd,tafd,tafd,Neutre,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,pdtd,tafd,tafd,tafd,tafd,tafd,tafd,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui
2024/11/24 5:22:35 PM GMT+1,45-54,Licence,Commerce,10+ ans,pdtd,pdtd,pdtd,tafd,tafd,pdtd,tafd,pdtd,pdtd,tafd,pdtd,pdtd,tafd,tafd,pdtd,tafd,tafd,pdtd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non
2024/11/24 7:28:01 PM GMT+1,55+,Autre,Autre,10+ ans,tafd,Neutre,Neutre,tafd,tafd,Neutre,tafd,pdtd,Neutre,tafd,pdtd,pdtd,tafd,tafd,tafd,Neutre,tafd,tafd,tafd,Neutre,Neutre,Neutre,tafd,pdtd,tafd,tafd,pdtd,Neutre,tafd,tafd,Oui,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non
2024/11/24 9:32:15 PM GMT+1,25-34,Master,Informatique / IT,0-2 ans,tafd,tafd,Neutre,Neutre,tafd,tafd,tafd,tafd,Neutre,pdtd,tafd,Neutre,pdtd,Neutre,Neutre,tafd,tafd,tafd,tafd,tafd,tafd,tafd,Neutre,tafd,tafd,Neutre,tafd,tafd,Neutre,Neutre,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Non,Oui
2024/11/25 8:57:56 AM GMT+1,45-54,Master,Finance / ComptabilitÃ©,10+ ans,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,Neutre,tafd,tafd,tafd,tafd,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui
2024/11/25 2:46:46 PM GMT+1,55+,Baccalaureat,Commerce,10+ ans,pdtd,pdtd,pdtd,pdtd,pdtd,pdtd,pdtd,pdtd,pdtd,pdtd,pdtd,pdtd,pdtd,pdtd,pdtd,pdtd,pdtd,pdtd,pdtd,pdtd,pdtd,pdtd,pdtd,pdtd,pdtd,pdtd,pdtd,pdtd,pdtd,pdtd,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui
2024/11/25 3:13:12 PM GMT+1,45-54,Licence,Commerce,10+ ans,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui
2024/11/25 4:51:33 PM GMT+1,55+,Doctorat,Sante / Medical,10+ ans,tafd,tafd,tafd,tafd,tafd,Neutre,tafd,Neutre,tafd,tafd,tafd,Neutre,tafd,Neutre,Neutre,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,Neutre,tafd,Neutre,tafd,Neutre,Neutre,tafd,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non
2024/11/25 5:44:02 PM GMT+1,45-54,Baccalaureat,Autre,10+ ans,tafd,tafd,pdtd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
2024/11/26 10:46:08 AM GMT+1,55+,Master,Autre,10+ ans,pdtd,tafd,pdtd,tafd,tafd,tafd,pdtd,pdtd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,pdtd,tafd,tafd,pdtd,tafd,Neutre,tafd,tafd,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui
2024/11/26 5:38:30 PM GMT+1,18-24,Baccalaureat,Marketing / Communication,10+ ans,tafd,tafd,pdtd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,Neutre,tafd,tafd,tafd,tafd,tafd,Neutre,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui
2024/11/26 6:14:33 PM GMT+1,45-54,Doctorat,Sante / Medical,10+ ans,tafd,tafd,tafd,tafd,tafd,tafd,tafd,Neutre,tafd,Neutre,tafd,tafd,Neutre,tafd,Neutre,tafd,tafd,tafd,Neutre,tafd,pdtd,tafd,tafd,Neutre,tafd,pdtd,pdtd,Neutre,tafd,tafd,Oui,Oui,Oui,Non,Oui,Oui,Oui,Oui,Oui,Oui
2024/12/01 2:15:41 PM GMT+1,35-44,Master,Informatique / IT,6-10 ans,Neutre,pdtd,pdtd,tafd,tafd,tafd,tafd,pdtd,pdtd,tafd,tafd,pdtd,tafd,tafd,tafd,tafd,Neutre,tafd,tafd,tafd,tafd,Neutre,Neutre,tafd,tafd,pdtd,tafd,pdtd,tafd,pdtd,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui
2024/12/01 4:14:31 PM GMT+1,18-24,Autre,Informatique / IT,0-2 ans,pdtd,tafd,Neutre,Neutre,tafd,tafd,pdtd,Neutre,tafd,Neutre,Neutre,Neutre,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,Neutre,tafd,Neutre,Neutre,tafd,Neutre,tafd,tafd,tafd,Neutre,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non
2024/12/02 9:21:25 AM GMT+1,35-44,Master,Sante / Medical,10+ ans,tafd,tafd,tafd,tafd,Neutre,Neutre,tafd,tafd,tafd,Neutre,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui
2024/12/02 6:03:46 PM GMT+1,45-54,Master,Autre,10+ ans,tafd,tafd,tafd,Neutre,tafd,tafd,tafd,tafd,tafd,tafd,tafd,Neutre,tafd,tafd,tafd,tafd,tafd,tafd,Neutre,tafd,tafd,Neutre,Neutre,tafd,tafd,pdtd,pdtd,pdtd,Neutre,pdtd,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non
2024/12/06 10:57:53 PM GMT+1,18-24,Master,Informatique / IT,0-2 ans,tafd,tafd,tafd,tafd,tafd,Neutre,tafd,tafd,tafd,tafd,Neutre,tafd,Neutre,tafd,Neutre,tafd,Neutre,tafd,tafd,Neutre,tafd,tafd,tafd,Neutre,tafd,tafd,tafd,tafd,tafd,tafd,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui
2024/12/07 8:29:38 PM GMT+1,18-24,Master,Informatique / IT,0-2 ans,tafd,tafd,tafd,Neutre,Neutre,Neutre,tafd,tafd,Neutre,tafd,tafd,tafd,tafd,tafd,Neutre,tafd,pdtd,tafd,pdtd,Neutre,tafd,tafd,tafd,tafd,tafd,Neutre,tafd,Neutre,tafd,Neutre,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non
2024/12/07 10:15:40 PM GMT+1,18-24,Master,Informatique / IT,0-2 ans,Neutre,tafd,Neutre,Neutre,tafd,tafd,tafd,Neutre,Neutre,Neutre,Neutre,tafd,tafd,tafd,Neutre,tafd,tafd,tafd,tafd,tafd,tafd,pdtd,Neutre,Neutre,tafd,tafd,tafd,Neutre,Neutre,Neutre,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui
2024/12/07 11:56:20 PM GMT+1,18-24,Licence,Informatique / IT,0-2 ans,pdtd,pdtd,pdtd,Neutre,pdtd,tafd,pdtd,tafd,pdtd,tafd,Neutre,pdtd,pdtd,Neutre,pdtd,pdtd,Neutre,tafd,pdtd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,Neutre,Neutre,tafd,Oui,Oui,Oui,Oui,Oui,Non,Oui,Oui,Oui,Oui
2024/12/08 5:10:40 AM GMT+1,25-34,Licence,Autre,0-2 ans,tafd,tafd,tafd,tafd,Neutre,Neutre,tafd,tafd,tafd,tafd,Neutre,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,Neutre,Neutre,tafd,Neutre,Neutre,tafd,Neutre,Oui,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non
2024/12/08 9:10:09 AM GMT+1,18-24,Licence,Informatique / IT,0-2 ans,Neutre,pdtd,Neutre,tafd,tafd,Neutre,Neutre,Neutre,pdtd,tafd,tafd,pdtd,tafd,tafd,Neutre,tafd,tafd,tafd,Neutre,tafd,tafd,tafd,tafd,tafd,tafd,Neutre,tafd,tafd,tafd,Neutre,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui
2024/12/08 11:07:53 AM GMT+1,18-24,Licence,Informatique / IT,0-2 ans,Neutre,Neutre,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,Neutre,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,Neutre,Neutre,tafd,tafd,tafd,tafd,Neutre,tafd,Neutre,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui
2024/12/08 12:23:13 PM GMT+1,25-34,Master,Informatique / IT,0-2 ans,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,Neutre,Neutre,tafd,tafd,pdtd,Neutre,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Oui,Oui
2024/12/08 1:33:20 PM GMT+1,18-24,Master,Informatique / IT,0-2 ans,Neutre,Neutre,tafd,tafd,tafd,Neutre,tafd,tafd,tafd,tafd,tafd,Neutre,Neutre,Neutre,tafd,Neutre,Neutre,tafd,tafd,Neutre,Neutre,tafd,tafd,Neutre,Neutre,tafd,tafd,Neutre,Neutre,tafd,Non,Non,Oui,Non,Non,Oui,Non,Non,Oui,Non
2024/12/08 9:07:46 PM GMT+1,25-34,Master,Informatique / IT,0-2 ans,tafd,tafd,tafd,Neutre,tafd,tafd,pdtd,Neutre,tafd,tafd,pdtd,Neutre,Neutre,tafd,tafd,tafd,Neutre,tafd,tafd,Neutre,tafd,pdtd,tafd,tafd,tafd,pdtd,tafd,Neutre,tafd,tafd,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Oui
2024/12/09 9:47:17 PM GMT+1,35-44,Master,Sante / Medical,10+ ans,tafd,tafd,tafd,tafd,tafd,Neutre,tafd,tafd,Neutre,tafd,tafd,tafd,tafd,tafd,Neutre,tafd,tafd,tafd,Neutre,tafd,tafd,pdtd,tafd,tafd,tafd,pdtd,tafd,Neutre,tafd,pdtd,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui
2024/12/10 10:50:36 PM GMT+1,18-24,Master,Informatique / IT,0-2 ans,tafd,Neutre,tafd,tafd,tafd,Neutre,tafd,pdtd,Neutre,tafd,pdtd,pdtd,tafd,tafd,pdtd,tafd,tafd,tafd,tafd,tafd,tafd,pdtd,tafd,pdtd,tafd,pdtd,Neutre,pdtd,tafd,pdtd,Oui,Oui,Oui,Non,Non,Oui,Oui,Non,Oui,Oui
2024/12/11 6:51:18 AM GMT+1,55+,Baccalaureat,Informatique / IT,10+ ans,pdtd,Neutre,tafd,tafd,tafd,tafd,tafd,tafd,Neutre,Neutre,pdtd,Neutre,Neutre,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,Neutre,tafd,tafd,tafd,tafd,tafd,tafd,tafd,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
2024/12/11 10:52:01 AM GMT+1,25-34,Master,Industrie / Fabrication,3-5 ans,Neutre,pdtd,pdtd,tafd,Neutre,pdtd,Neutre,pdtd,Neutre,tafd,pdtd,Neutre,tafd,tafd,Neutre,Neutre,tafd,tafd,Neutre,Neutre,tafd,tafd,tafd,tafd,Neutre,Neutre,pdtd,tafd,Neutre,tafd,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non
2024/12/13 5:44:24 PM GMT+1,35-44,Licence,Informatique / IT,6-10 ans,tafd,tafd,Neutre,tafd,tafd,tafd,tafd,pdtd,Neutre,tafd,tafd,pdtd,tafd,tafd,tafd,tafd,tafd,tafd,Neutre,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,Oui,Oui,Oui,Non,Oui,Oui,Non,Non,Oui,Non
2024/12/13 6:19:45 PM GMT+1,35-44,Autre,Commerce,10+ ans,pdtd,pdtd,pdtd,tafd,pdtd,pdtd,tafd,pdtd,pdtd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,pdtd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Oui,Non
2024/12/14 7:13:39 PM GMT+1,35-44,Autre,Marketing / Communication,6-10 ans,Neutre,tafd,Neutre,tafd,tafd,Neutre,tafd,tafd,tafd,Neutre,tafd,Neutre,tafd,tafd,tafd,Neutre,tafd,tafd,tafd,tafd,pdtd,pdtd,tafd,pdtd,tafd,tafd,tafd,Neutre,Neutre,Neutre,Oui,Oui,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui
2024/12/19 4:11:21 PM GMT+1,55+,Baccalaureat,Autre,3-5 ans,pdtd,Neutre,tafd,pdtd,Neutre,tafd,pdtd,Neutre,Neutre,Neutre,Neutre,tafd,tafd,tafd,tafd,tafd,pdtd,tafd,tafd,pdtd,tafd,Neutre,tafd,tafd,tafd,tafd,tafd,tafd,tafd,tafd,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non
